source,target
1,3
1,2
1,5
1,4
1,7
1,6
1,9
1,8
1,11
1,10
1,15
1,14
1,17
1,16
1,18
1,20
1,19
1,21
1,24
1,23
1,37
0,3
0,2
0,5
0,7
0,6
0,9
0,8
0,11
0,10
0,13
0,15
0,14
0,17
0,16
0,18
0,20
0,19
0,21
0,24
0,23
0,33
3,1
3,5
3,7
3,6
3,9
3,15
3,14
3,17
3,18
3,19
3,24
3,23
3,35
2,1
2,0
2,3
2,5
2,4
2,7
2,6
2,9
2,10
2,15
2,14
2,17
2,16
2,18
2,20
2,19
2,24
2,23
2,28
2,37
2,45
5,1
5,0
5,3
5,2
5,4
5,7
5,6
5,9
5,8
5,11
5,10
5,15
5,14
5,17
5,18
5,24
5,23
5,25
5,26
5,29
5,33
5,34
5,37
4,1
4,0
4,3
4,2
4,5
4,7
4,6
4,9
4,8
4,11
4,10
4,13
4,15
4,14
4,17
4,16
4,18
4,20
4,19
4,21
4,24
4,23
4,33
4,34
4,37
4,40
7,1
7,0
7,3
7,2
7,5
7,4
7,6
7,9
7,8
7,11
7,10
7,15
7,17
7,16
7,18
7,19
7,24
7,23
7,25
7,31
7,33
7,37
7,41
7,45
6,1
6,0
6,3
6,2
6,5
6,4
6,9
6,8
6,11
6,10
6,13
6,12
6,15
6,14
6,17
6,16
6,18
6,20
6,19
6,24
6,23
6,25
6,41
9,1
9,3
9,5
9,4
9,7
9,6
9,8
9,11
9,10
9,13
9,15
9,14
9,17
9,16
9,18
9,19
9,24
9,23
9,29
9,31
9,33
9,34
9,37
9,38
9,39
8,1
8,0
8,3
8,2
8,5
8,4
8,7
8,6
8,9
8,11
8,10
8,13
8,12
8,15
8,17
8,16
8,18
8,20
8,19
8,21
8,22
8,24
8,23
8,28
8,33
8,34
8,40
11,3
11,4
11,7
11,6
11,9
11,8
11,10
11,15
11,17
11,16
11,18
11,23
11,26
11,33
10,0
10,3
10,2
10,5
10,6
10,8
10,11
10,13
10,15
10,17
10,18
10,21
10,24
10,23
10,33
13,3
13,7
13,8
13,15
13,14
13,17
13,18
13,19
13,23
13,27
13,30
13,31
13,34
13,37
13,38
13,39
13,40
13,45
12,0
12,7
12,6
12,9
12,10
12,14
15,0
15,3
15,5
15,4
15,7
15,6
15,9
15,8
15,14
15,19
15,24
15,25
14,0
14,3
14,2
14,5
14,7
14,6
14,8
14,11
14,10
14,15
14,17
14,18
14,20
14,19
14,24
14,23
14,44
17,0
17,3
17,5
17,4
17,11
17,15
17,16
17,18
17,19
17,21
17,23
17,25
17,26
17,31
17,32
17,33
17,34
17,35
17,37
17,39
17,45
16,1
16,0
16,3
16,2
16,5
16,4
16,7
16,6
16,9
16,11
16,10
16,13
16,12
16,15
16,14
16,17
16,18
16,19
16,21
16,22
16,24
16,23
16,26
16,31
16,34
16,45
18,1
18,0
18,2
18,4
18,7
18,6
18,8
18,10
18,14
18,19
18,24
18,23
18,25
18,26
18,31
18,33
18,34
18,35
18,37
20,3
20,2
20,5
20,8
20,17
20,18
20,19
20,24
20,23
20,26
20,29
19,1
19,3
19,5
19,7
19,6
19,8
19,11
19,13
19,15
19,14
19,17
19,16
19,18
19,22
19,24
19,23
19,26
19,28
19,32
21,1
21,0
21,3
21,2
21,5
21,4
21,7
21,6
21,9
21,8
21,10
21,15
21,17
21,16
21,18
21,20
21,19
21,22
21,24
21,23
21,31
21,34
21,37
21,40
21,45
22,7
22,12
24,1
24,0
24,3
24,2
24,5
24,4
24,7
24,6
24,9
24,8
24,11
24,10
24,13
24,12
24,15
24,14
24,17
24,16
24,18
24,20
24,19
24,22
24,23
24,26
24,29
24,30
24,33
24,34
24,35
24,37
24,38
24,39
24,40
24,44
23,1
23,0
23,3
23,2
23,7
23,6
23,9
23,8
23,11
23,10
23,13
23,15
23,17
23,16
23,18
23,20
23,19
23,22
23,24
23,37
25,6
25,8
25,16
25,20
25,23
25,26
25,29
25,33
25,35
25,36
25,38
26,1
26,0
26,3
26,2
26,5
26,4
26,7
26,6
26,9
26,8
26,11
26,10
26,12
26,15
26,14
26,17
26,16
26,18
26,20
26,19
26,21
26,24
26,23
26,28
26,29
26,30
26,31
26,33
26,34
26,40
26,45
27,0
27,2
27,5
27,4
27,7
27,6
27,9
27,8
27,10
27,17
27,16
27,19
27,21
27,23
27,31
27,33
27,34
28,0
28,2
28,6
28,8
28,11
28,10
28,15
28,16
28,18
28,20
28,19
28,24
28,23
28,25
28,34
28,38
28,41
29,1
29,0
29,3
29,2
29,5
29,4
29,7
29,6
29,8
29,10
29,15
29,17
29,16
29,24
29,23
29,25
30,1
30,0
30,3
30,2
30,5
30,4
30,7
30,6
30,9
30,8
30,11
30,10
30,13
30,12
30,15
30,17
30,16
30,18
30,20
30,19
30,21
30,24
30,23
30,25
30,28
30,34
30,40
31,1
31,0
31,3
31,2
31,5
31,4
31,7
31,6
31,9
31,8
31,11
31,10
31,13
31,12
31,15
31,14
31,17
31,16
31,18
31,20
31,19
31,24
31,23
31,25
31,30
31,33
31,34
31,35
31,37
31,38
31,39
31,40
31,42
32,0
32,2
32,5
32,4
32,6
32,8
32,10
32,17
32,16
32,19
32,23
32,25
32,38
32,40
32,41
33,0
33,2
33,5
33,6
33,8
33,10
33,15
33,16
33,19
33,21
33,24
33,23
33,25
33,26
33,29
33,30
33,31
33,32
33,35
33,37
33,38
33,39
33,41
33,42
33,43
34,0
34,2
34,5
34,4
34,7
34,6
34,9
34,8
34,11
34,10
34,15
34,17
34,16
34,18
34,20
34,19
34,21
34,22
34,24
34,23
34,31
34,38
34,39
34,40
34,41
35,1
35,0
35,3
35,2
35,5
35,4
35,7
35,6
35,9
35,8
35,11
35,10
35,13
35,15
35,14
35,17
35,16
35,18
35,20
35,19
35,21
35,24
35,23
35,25
35,28
35,33
35,34
35,37
35,40
35,45
36,2
36,7
36,6
36,8
36,11
36,15
36,16
36,24
36,23
37,0
37,3
37,2
37,5
37,4
37,7
37,6
37,9
37,8
37,11
37,10
37,12
37,15
37,14
37,17
37,16
37,18
37,20
37,19
37,21
37,24
37,23
37,25
37,27
37,28
37,29
37,31
37,33
37,35
37,38
37,41
37,44
38,0
38,2
38,5
38,4
38,7
38,6
38,8
38,11
38,15
38,17
38,16
38,18
38,24
38,23
38,25
38,28
38,37
39,6
39,8
39,11
39,12
39,15
39,16
39,18
39,20
39,19
39,24
39,23
39,31
40,0
40,2
40,5
40,4
40,6
40,8
40,10
40,15
40,17
40,16
40,18
40,20
40,24
40,23
40,25
40,31
40,38
41,0
41,2
41,4
41,6
41,9
41,8
41,11
41,15
41,16
41,19
41,24
41,23
41,25
41,34
42,0
42,2
42,5
42,7
42,6
42,8
42,10
42,15
42,14
42,17
42,16
42,20
42,23
42,25
42,28
42,31
42,34
42,41
43,0
43,3
43,2
43,4
43,7
43,6
43,8
43,16
43,18
43,20
43,19
43,21
43,23
43,25
43,29
43,40
44,1
44,0
44,2
44,5
44,4
44,6
44,9
44,8
44,10
44,15
44,17
44,16
44,20
44,19
44,24
44,23
45,0
45,2
45,5
45,4
45,7
45,6
45,9
45,8
45,10
45,13
45,15
45,16
45,18
45,20
45,19
45,24
45,23
45,25
45,33
45,34
45,38
45,41
45,42
